code,open,close,low,high,open_std,close_std,total_volume,total_turnover,volume_std,turnover_std
600802,73000,80000,72600,80000,0.00262470711892912,0.0026853494687226354,27032734,210598988,211434.93209774134,1683881.562646546
600803,151200,153300,149500,154900,0.0014447930302168292,0.001396228690956286,23278664,355719669,69470.76849366314,1058587.932489249
600804,170900,177200,170799,177600,0.0010684416869296029,0.0010361895918464094,9545649,167310186,38225.440554866735,675748.9483954309
600805,61100,61700,60900,61700,0.0010353516926871534,0.0009799224557619066,3331291,20429190,20733.319457681933,127170.80421357493
600808,41300,42699,41100,42900,0.0018401129779829556,0.0018471118346632478,115227182,486294796,533298.7939286621,2256259.101289972
600809,565100,563400,558000,571500,0.0012853372301066264,0.0011316276847618777,4753505,267247770,15043.14944064927,846538.4076146294
600810,70400,72600,70000,74000,0.0016945719238609426,0.0017059710142902453,3809339,27508413,29621.75219211289,214935.24122160953
600811,45800,46400,45800,46400,0.0014033518295358505,0.0013458872503245524,10712833,49435669,54447.82405132304,251129.22410710796
600812,49600,50199,49400,50199,0.0013278847361432816,0.0012360034537459625,2894831,14415534,23803.92427906929,118710.52058363601
600814,90700,90600,89200,91500,0.0010633079858740199,0.0010612625319299928,3231586,29204923,14503.390746986131,131183.65454658552
600816,130800,132100,130800,132600,0.0006857867663258651,0.0006153833873511401,9319910,122894498,35883.73539499251,473312.7964380868
